Activity,Season,Age,Athleticism,Interests,Preference,Travel,Frequency
Experience summer star viewing festival,Summer,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Nokogiri Buddha statue,Spring,Both,Medium,"spiritual, nature",Outdoor,Family,Frequent
Visit Tokyo National Diet Library,All,Older,Low,"education, history",Indoor,Solo,Frequent
Tour Kyoto Nanzen-ji aqueduct,All,Both,Low,"history, sightseeing",Outdoor,Family,First
Experience fall koyo illumination festival,Fall,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Atago fire festival,Summer,Both,High,"spiritual, festivals",Outdoor,Both,Frequent
Visit Tokyo National Children's Castle,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Saiho-ji moss garden,All,Older,Low,"spiritual, nature",Outdoor,Solo,First
Experience winter onsen snow viewing,Winter,Older,Low,"relaxation, nature",Both,Solo,Frequent
Hike Mount Hiei winter hike,Winter,Both,High,"nature, spiritual",Outdoor,Solo,Frequent
Visit Tokyo National Sumo Museum,All,Both,Low,"sports, culture",Indoor,Family,Frequent
Tour Kyoto Enryaku-ji monastery,All,Older,Low,"spiritual, history",Outdoor,Both,First
Experience spring azalea festival,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Kurama autumn leaves,Fall,Both,Medium,"nature, scenery",Outdoor,Family,Frequent
Visit Tokyo National Film Archive,All,Young,Low,"entertainment, culture",Indoor,Solo,Frequent
Tour Kyoto Daigo-ji bentendo hall,Fall,Both,Low,"spiritual, culture",Outdoor,Family,First
Experience summer firefly viewing festival,Summer,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Myogi winter climb,Winter,Both,High,"nature, adventure",Outdoor,Solo,Frequent
Visit Tokyo National Aviation Museum,All,Both,Low,"education, history",Indoor,Family,Frequent
Tour Kyoto Kitano Tenmangu plum grove,Winter,Both,Low,"nature, spiritual",Outdoor,Family,First
Experience spring wisteria festival,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Nasu spring hike,Spring,Both,High,"nature, scenery",Outdoor,Both,Frequent
Visit Tokyo National Toy Museum,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Kamo River cherry blossoms,Spring,Both,Low,"nature, scenery",Outdoor,Family,First
Experience fall susuki grass festival,Fall,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Ontake autumn colors,Fall,Both,High,"nature, spiritual",Outdoor,Solo,Frequent
Visit Tokyo National Craft Museum,All,Older,Low,"art, culture",Indoor,Solo,Frequent
Tour Kyoto Sagano romantic train,Fall,Both,Low,"sightseeing, scenery",Outdoor,Family,First
Experience summer yukata festival,Summer,Both,Low,"festivals, culture",Outdoor,Family,First
Hike Mount Chausu plateau,Summer,Both,Medium,"nature, scenery",Outdoor,Both,Frequent
Visit Tokyo National Olympic Museum,All,Young,Low,"sports, history",Indoor,Friends,Frequent
Tour Kyoto Jidai Matsuri parade,Fall,Both,Low,"festivals, history",Outdoor,Family,First
Experience winter igloo festival,Winter,Both,Low,"festivals, adventure",Outdoor,Family,First
Hike Mount Rokko winter lights,Winter,Both,Medium,"nature, night life",Outdoor,Friends,Frequent
Visit Tokyo National Diet Library,All,Older,Low,"education, history",Indoor,Solo,Frequent
Tour Kyoto Aoi Matsuri procession,Spring,Both,Low,"festivals, culture",Outdoor,Family,First
Experience summer lantern floating festival,Summer,Both,Low,"festivals, spiritual",Outdoor,Family,First
Hike Mount Koya winter snow,Fall,Both,High,"spiritual, nature",Outdoor,Solo,Frequent
Visit Tokyo National Children's Castle,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Kurama Fire Festival,Fall,Both,Low,"festivals, culture",Outdoor,Family,First
Experience spring night cherry viewing,Spring,Both,Low,"nature, night life",Outdoor,Family,First
Hike Mount Hiei spring greens,Spring,Both,High,"nature, spiritual",Outdoor,Both,Frequent
Visit Tokyo National Sumo Museum,All,Both,Low,"sports, culture",Indoor,Family,Frequent
Tour Kyoto Gion Festival night stalls,Summer,Both,Low,"festivals, night life",Outdoor,Friends,First
Experience fall harvest moon viewing,Fall,Both,Low,"festivals, culture",Outdoor,Family,First
Hike Mount Atago autumn hike,Fall,Both,Medium,"nature, spiritual",Outdoor,Both,Frequent
Visit Tokyo National Film Archive,All,Young,Low,"entertainment, culture",Indoor,Solo,Frequent
Tour Kyoto Okazaki Canal boat ride,Spring,Both,Low,"sightseeing, nature",Outdoor,Family,First
Experience winter hot sake festival,Winter,Both,Low,"festivals, culinary",Indoor,Friends,Frequent
Hike Mount Kurama winter solitude,Winter,Both,High,"nature, relaxation",Outdoor,Solo,Frequent
Visit Tokyo National Aviation Museum,All,Both,Low,"education, history",Indoor,Family,Frequent
Tour Kyoto Nishiyama bamboo forest,All,Both,Low,"nature, scenery",Outdoor,Family,First
Experience summer star gazing festival,Summer,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Myogi spring flowers,Spring,Both,High,"nature, scenery",Outdoor,Both,Frequent
Visit Tokyo National Toy Museum,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Saiho-ji moss temple garden,All,Older,Low,"spiritual, nature",Outdoor,Solo,First
Experience fall persimmon festival,Fall,Both,Low,"festivals, culinary",Outdoor,Family,First
Hike Mount Nasu winter snowshoe,Winter,Both,High,"nature, adventure",Outdoor,Solo,Frequent
Visit Tokyo National Craft Museum,All,Older,Low,"art, culture",Indoor,Solo,Frequent
Tour Kyoto Enryaku-ji temple complex,All,Both,Medium,"spiritual, history",Outdoor,Family,First
Experience spring rose festival,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Ontake summer alpine,Summer,Both,High,"nature, scenery",Outdoor,Both,Frequent
Visit Tokyo National Olympic Museum,All,Young,Low,"sports, history",Indoor,Friends,Frequent
Tour Kyoto Daigo-ji cherry blossoms,Spring,Both,Low,"spiritual, nature",Outdoor,Family,First
Experience summer beach festival,Summer,Both,Low,"festivals, beaches",Outdoor,Family,First
Hike Mount Chausu winter view,Winter,Both,High,"nature, scenery",Outdoor,Solo,Frequent
Visit Tokyo National Diet Library,All,Older,Low,"education, history",Indoor,Solo,Frequent
Tour Kyoto Kitano Tenmangu flea market,All,Both,Low,"shopping, culture",Outdoor,Friends,First
Experience fall chestnut festival,Fall,Both,Low,"festivals, culinary",Outdoor,Family,First
Hike Mount Rokko spring cherry,Spring,Both,Medium,"nature, scenery",Outdoor,Family,Frequent
Visit Tokyo National Children's Castle,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Kamo River summer terrace,Summer,Both,Low,"relaxation, night life",Outdoor,Friends,First
Experience winter plum viewing festival,Winter,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Koya autumn colors,Fall,Both,High,"spiritual, nature",Outdoor,Both,Frequent
Visit Tokyo National Sumo Museum,All,Both,Low,"sports, culture",Indoor,Family,Frequent
Tour Kyoto Fushimi Inari fox shrine,All,Both,Medium,"spiritual, culture",Outdoor,Family,First
Experience spring tulip festival,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Hiei winter monastery,Winter,Both,High,"spiritual, nature",Outdoor,Solo,Frequent
Visit Tokyo National Film Archive,All,Young,Low,"entertainment, culture",Indoor,Solo,Frequent
Tour Kyoto Nanzen-ji zen rock garden,All,Older,Low,"spiritual, relaxation",Outdoor,Solo,First
Experience summer hydrangea festival,Summer,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Kurama spring greens,Spring,Both,High,"nature, spiritual",Outdoor,Both,Frequent
Visit Tokyo National Aviation Museum,All,Both,Low,"education, history",Indoor,Family,Frequent
Tour Kyoto Daigo-ji autumn leaves,Fall,Both,Low,"spiritual, nature",Outdoor,Family,First
Experience winter lantern festival,Winter,Both,Low,"festivals, culture",Outdoor,Family,First
Hike Mount Myogi summer climb,Summer,Both,High,"nature, adventure",Outdoor,Solo,Frequent
Visit Tokyo National Toy Museum,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Kitano Tenmangu winter plum,Winter,Both,Low,"nature, spiritual",Outdoor,Family,First
Experience spring lily festival,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Nasu fall foliage,Fall,Both,High,"nature, scenery",Outdoor,Both,Frequent
Visit Tokyo National Craft Museum,All,Older,Low,"art, culture",Indoor,Solo,Frequent
Tour Kyoto Kamo River autumn walk,Fall,Both,Low,"nature, scenery",Outdoor,Family,First
Experience summer firefly festival,Summer,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Ontake winter snow,Winter,Both,High,"nature, adventure",Outdoor,Solo,Frequent
Visit Tokyo National Olympic Museum,All,Young,Low,"sports, history",Indoor,Friends,Frequent
Tour Kyoto Sagano bamboo summer green,Summer,Both,Low,"nature, scenery",Outdoor,Family,First
Experience spring nemophila festival,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Chausu spring flowers,Spring,Both,High,"nature, scenery",Outdoor,Both,Frequent
Visit Tokyo National Diet Library,All,Older,Low,"education, history",Indoor,Solo,Frequent
Tour Kyoto Saiho-ji summer moss,Summer,Both,Low,"spiritual, nature",Outdoor,Solo,First
Experience fall ginkgo festival,Fall,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Rokko winter night view,Winter,Both,Medium,"nature, night life",Outdoor,Friends,Frequent
Visit Tokyo National Children's Castle,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Enryaku-ji autumn monastery,Fall,Both,Medium,"spiritual, nature",Outdoor,Family,First
Experience summer bamboo lantern festival,Summer,Both,Low,"festivals, culture",Outdoor,Family,First
Hike Mount Koya spring cherry,Spring,Both,High,"spiritual, nature",Outdoor,Both,Frequent
Visit Tokyo National Sumo Museum,All,Both,Low,"sports, culture",Indoor,Family,Frequent
Tour Kyoto Fushimi Inari winter fox,Winter,Both,Medium,"spiritual, nature",Outdoor,Solo,Frequent
Experience spring moss phlox festival,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Hiei summer green,Summer,Both,High,"nature, spiritual",Outdoor,Both,Frequent
Visit Tokyo National Film Archive,All,Young,Low,"entertainment, culture",Indoor,Solo,Frequent
Tour Kyoto Daigo-ji winter snow,Winter,Both,Low,"spiritual, nature",Outdoor,Family,First
Experience fall maple tunnel festival,Fall,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Kurama fall colors,Fall,Both,High,"nature, scenery",Outdoor,Both,Frequent
Visit Tokyo National Aviation Museum,All,Both,Low,"education, history",Indoor,Family,Frequent
Tour Kyoto Kitano Tenmangu spring plum,Spring,Both,Low,"nature, spiritual",Outdoor,Family,First
Experience summer lotus festival,Summer,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Myogi winter rock,Winter,Both,High,"nature, adventure",Outdoor,Solo,Frequent
Visit Tokyo National Toy Museum,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Kamo River winter walk,Winter,Both,Low,"nature, relaxation",Outdoor,Family,First
Experience spring rapeseed festival,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Nasu summer plateau,Summer,Both,High,"nature, scenery",Outdoor,Both,Frequent
Visit Tokyo National Craft Museum,All,Older,Low,"art, culture",Indoor,Solo,Frequent
Tour Kyoto Sagano bamboo winter light-up,Winter,Both,Low,"nature, night life",Outdoor,Family,First
Experience fall cosmos festival,Fall,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Ontake fall hike,Fall,Both,High,"nature, spiritual",Outdoor,Solo,Frequent
Visit Tokyo National Olympic Museum,All,Young,Low,"sports, history",Indoor,Friends,Frequent
Tour Kyoto Saiho-ji spring moss,Spring,Both,Low,"spiritual, nature",Outdoor,Solo,First
Experience summer sunflower festival,Summer,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Chausu winter snow,Fall,Both,High,"nature, scenery",Outdoor,Both,Frequent
Visit Tokyo National Diet Library,All,Older,Low,"education, history",Indoor,Solo,Frequent
Tour Kyoto Enryaku-ji summer monastery,Summer,Both,Medium,"spiritual, nature",Outdoor,Family,First
Experience spring poppy festival,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Rokko fall colors,Fall,Both,High,"nature, scenery",Outdoor,Both,Frequent
Visit Tokyo National Children's Castle,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Daigo-ji spring cherry,Spring,Both,Low,"spiritual, nature",Outdoor,Family,First
Experience winter camellia festival,Winter,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Koya winter solitude,Winter,Both,High,"spiritual, nature",Outdoor,Solo,Frequent
Visit Tokyo National Sumo Museum,All,Both,Low,"sports, culture",Indoor,Family,Frequent
Tour Kyoto Fushimi Inari summer green,Summer,Both,Medium,"spiritual, nature",Outdoor,Family,First
Experience fall silver grass festival,Fall,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Hiei fall monastery,Fall,Both,High,"spiritual, nature",Outdoor,Both,Frequent
Visit Tokyo National Film Archive,All,Young,Low,"entertainment, culture",Indoor,Solo,Frequent
Tour Kyoto Kitano Tenmangu fall maple,Fall,Both,Low,"nature, spiritual",Outdoor,Family,First
Experience summer lavender festival,Summer,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Kurama winter hike,Winter,Both,High,"nature, spiritual",Outdoor,Solo,Frequent
Visit Tokyo National Aviation Museum,All,Both,Low,"education, history",Indoor,Family,Frequent
Tour Kyoto Kamo River spring cherry,Spring,Both,Low,"nature, scenery",Outdoor,Family,First
Experience spring lavender festival,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Myogi spring climb,Spring,Both,High,"nature, adventure",Outdoor,Both,Frequent
Visit Tokyo National Toy Museum,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Sagano bamboo fall colors,Fall,Both,Low,"nature, scenery",Outdoor,Family,First
Experience winter narcissus festival,Winter,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Nasu winter snow,Winter,Both,High,"nature, adventure",Outdoor,Solo,Frequent
Visit Tokyo National Craft Museum,All,Older,Low,"art, culture",Indoor,Solo,Frequent
Tour Kyoto Saiho-ji fall moss,Fall,Both,Low,"spiritual, nature",Outdoor,Solo,First
Experience summer cosmos festival,Summer,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Chausu spring hike,Spring,Both,High,"nature, scenery",Outdoor,Both,Frequent
Visit Tokyo National Olympic Museum,All,Young,Low,"sports, history",Indoor,Friends,Frequent
Tour Kyoto Enryaku-ji winter snow,Winter,Both,Medium,"spiritual, nature",Outdoor,Family,First
Experience spring daffodil festival,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Rokko summer view,Summer,Both,High,"nature, scenery",Outdoor,Both,Frequent
Visit Tokyo National Diet Library,All,Older,Low,"education, history",Indoor,Solo,Frequent
Tour Kyoto Daigo-ji summer green,Summer,Both,Low,"spiritual, nature",Outdoor,Family,First
Experience fall orchid festival,Fall,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Koya spring greens,Spring,Both,High,"spiritual, nature",Outdoor,Both,Frequent
Visit Tokyo National Children's Castle,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Fushimi Inari spring cherry,Spring,Both,Medium,"spiritual, nature",Outdoor,Family,First
Experience winter orchid festival,Winter,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Hiei summer hike,Summer,Both,High,"nature, spiritual",Outdoor,Solo,Frequent
Visit Tokyo National Sumo Museum,All,Both,Low,"sports, culture",Indoor,Family,Frequent
Tour Kyoto Kitano Tenmangu summer festival,Summer,Both,Low,"festivals, spiritual",Outdoor,Family,First
Experience spring orchid festival,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Kurama fall hike,Fall,Both,High,"nature, scenery",Outdoor,Both,Frequent
Visit Tokyo National Film Archive,All,Young,Low,"entertainment, culture",Indoor,Solo,Frequent
Tour Kyoto Kamo River fall colors,Fall,Both,Low,"nature, scenery",Outdoor,Family,First
Experience summer orchid festival,Summer,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Myogi fall climb,Fall,Both,High,"nature, adventure",Outdoor,Solo,Frequent
Visit Tokyo National Aviation Museum,All,Both,Low,"education, history",Indoor,Family,Frequent
Tour Kyoto Sagano bamboo spring light,Spring,Both,Low,"nature, scenery",Outdoor,Family,First
Experience winter rose festival,Winter,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Nasu spring hike,Spring,Both,High,"nature, scenery",Outdoor,Both,Frequent
Visit Tokyo National Toy Museum,All,Young,Low,"family, entertainment",Indoor,Family,Frequent
Tour Kyoto Saiho-ji winter moss,Winter,Both,Low,"spiritual, nature",Outdoor,Solo,First
Experience spring rose festival,Spring,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Chausu summer flowers,Summer,Both,High,"nature, scenery",Outdoor,Both,Frequent
Visit Tokyo National Craft Museum,All,Older,Low,"art, culture",Indoor,Solo,Frequent
Tour Kyoto Enryaku-ji spring cherry,Spring,Both,Medium,"spiritual, nature",Outdoor,Family,First
Experience fall rose festival,Fall,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Rokko winter hike,Winter,Both,High,"nature, adventure",Outdoor,Solo,Frequent
Visit Tokyo National Olympic Museum,All,Young,Low,"sports, history",Indoor,Friends,Frequent
Tour Kyoto Daigo-ji fall leaves,Fall,Both,Low,"spiritual, nature",Outdoor,Family,First
Experience summer rose festival,Summer,Both,Low,"festivals, nature",Outdoor,Family,First
Hike Mount Koya summer green,Summer,Both,High,"spiritual, nature",Outdoor,Both,Frequent
Visit Tokyo National Diet Library,All,Older,Low,"education, history",Indoor,Solo,Frequent
Tour Kyoto Fushimi Inari fall colors,Fall,Both,Medium,"spiritual, nature",Outdoor,Family,First
Play UFO Catchers at GiGO Akihabara Building 3,All,Young,Low,"crane games, entertainment, pop culture",Indoor,Friends,First
Challenge crane machines at Taito Station Akihabara,All,Young,Low,"crane games, video games",Indoor,Solo,Both
Win prizes at Namco Akihabara Arcade,All,Young,Low,"crane games, entertainment",Indoor,Friends,First
Hunt rare prizes at GiGO Shinjuku Kabukicho,All,Young,Low,"crane games, pop culture",Indoor,Friends,Both
Massive crane game selection at GiGO Osaka Dotonbori,All,Young,Low,"crane games, anime",Indoor,Friends,First
Play at the world's largest crane arcade: Everyday Gyoda,All,Young,Low,crane games,Indoor,Both,Frequent
Retro arcade fun at Mikado Game Center,All,Young,Low,"video games, retro games",Indoor,Solo,Frequent
Shop for Pokemon cards at Radio Kaikan,All,Young,Low,"trading cards, pokemon, shopping",Indoor,Solo,First
Browse TCG at LAMB Trading Card Shop,All,Young,Low,"trading cards, pokemon, mtg",Indoor,Friends,Both
Visit Pokemon Center for cards and merch,All,Young,Low,"trading cards, pokemon, pop culture",Indoor,Family,First
Hunt cards at Animate Akihabara,All,Young,Low,"anime, trading cards, manga",Indoor,Solo,Both
Shop at Mandarake for rare anime figures/cards,All,Young,Low,"anime, trading cards, pop culture",Indoor,Solo,Frequent
Explore Lashinbang for second-hand anime goods,All,Young,Low,"anime, shopping",Indoor,Friends,Frequent
Visit Nintendo Store Osaka for games/merch,All,Young,Low,"video games, nintendo",Indoor,Friends,First
Retro games shopping at Super Potato,All,Young,Low,"video games, retro games",Indoor,Solo,Frequent
Browse Beep Akihabara for games,All,Young,Low,"video games, retro",Indoor,Solo,Both
Otaku shopping at Den Den Town,All,Young,Low,"anime, pop culture, shopping",Both,Friends,First
Play retro arcades at GiGO Akihabara,All,Young,Low,"video games, retro games, crane games",Indoor,Friends,Frequent
Shop at K-Books Akihabara for manga/cards,All,Young,Low,"anime, trading cards",Indoor,Solo,Both
Visit Volks Akihabara for figures/models,All,Young,Low,"anime, pop culture",Indoor,Solo,Frequent
Crane games and merch at Round1 Stadium Odaiba,All,Young,Low,"crane games, entertainment",Indoor,Friends,First
TCG hunting at Quad Sports (Tokyo),All,Young,Low,trading cards,Indoor,Solo,Frequent
Play at 3rd Planet Yokohama (huge cranes),All,Young,Low,crane games,Indoor,Friends,Frequent
